Bắt	Arrest-jail	O	T33	Person-Arg:T34 
sống	O	O	O	N
thủ_lĩnh	O	PER	T34	N
chủ_chốt	O	PER	T34	N
phe	O	PER	T34	N
đối_lập	O	PER	T34	N
Thái_Lan	O	O	O	N

Ngày	O	TIME	T3	N
10.2	O	TIME	T3	N
,	O	O	O	N
một	O	PER	T2	N
thành_viên	O	PER	T2	N
chủ_chốt	O	PER	T2	N
của	O	PER	T2	N
Uỷ_ban	O	PER	T2	N
Cải_cách	O	PER	T2	N
dân_chủ_nhân_dân	O	PER	T2	N
Thái_Lan	O	PER	T2	N
(	O	PER	T2	N
PDRC	O	PER	T2	N
)	O	PER	T2	N
đã	O	O	O	N
bị	O	O	O	N
bắt	Arrest-jail	O	T1	Person-Arg:T2 Time-Arg:T3 
.	O	O	O	N

Người	O	O	O	N
biểu_tình	O	O	O	N
Thái_Lan	O	O	O	N
.	O	O	O	N

Ông	O	PER	T4	N
Sonthiyan_Chuenruthainaitham	O	PER	T4	N
-	O	PER	T4	N
lãnh_đạo	O	PER	T4	N
PDRC	O	PER	T4	N
,	O	PER	T4	N
chủ_sở_hữu	O	PER	T4	N
hãng	O	PER	T4	N
tin	O	PER	T4	N
T	O	PER	T4	N
-	O	PER	T4	N
News	O	PER	T4	N
và	O	PER	T4	N
kênh_truyền_hình	O	PER	T4	N
vệ_tinh	O	PER	T4	N
-	O	O	O	N
bị	O	O	O	N
cảnh_sát	O	ORG	T5	N
bắt	O	O	O	N
vào	O	O	O	N
13h30	O	TIME	T7	N
,	O	O	O	N
khi	O	O	O	N
đang	O	O	O	N
ăn	O	O	O	N
trưa	O	O	O	N
tại	O	O	O	N
Central_Department_Store	O	FAC	T35	N
ở	O	FAC	T35	N
Lat_Phrao	O	GPE	T36	N
.	O	O	O	N

Ông	O	PER	T10	N
này	O	PER	T10	N
được	O	O	O	N
đưa	Transport	O	T8	Artifact-Arg:T10 Destination-Arg:T9 
tới	O	O	O	N
trụ_sở	O	LOC	T9	N
cảnh_sát	O	LOC	T9	N
quận	O	LOC	T9	N
Khlong_Luang	O	LOC	T9	N
ở	O	LOC	T9	N
Pathum_Thani	O	GPE	T37	N
.	O	O	O	N

Trước	O	O	O	N
đó	O	O	O	N
,	O	O	O	N
theo	O	O	O	N
đề_nghị	O	O	O	N
của	O	O	O	N
Cục	O	O	O	N
Điều_tra	O	O	O	N
đặc_biệt	O	O	O	N
,	O	O	O	N
Toà_án	O	O	O	N
Hình_sự	O	O	O	N
Thái_Lan	O	O	O	N
hôm	O	O	O	N
5.2	O	O	O	N
phê_chuẩn	O	O	O	N
lệnh	O	O	O	N
bắt	O	O	O	N
19	O	O	O	N
thủ_lĩnh	O	O	O	N
PDRC	O	O	O	N
-	O	O	O	N
trong	O	O	O	N
đó	O	O	O	N
có	O	O	O	N
ông	O	O	O	N
Sonthiyan	O	O	O	N
,	O	O	O	N
vì	O	O	O	N
tội_danh	O	O	O	N
vi_phạm	O	O	O	N
lệnh	O	O	O	N
tình_trạng	O	O	O	N
khẩn_cấp	O	O	O	N
.	O	O	O	N

Cũng	O	O	O	N
trong	O	O	O	N
hôm_nay	O	TIME	T12	N
,	O	O	O	N
ít_nhất	O	O	O	N
