it	O	VEH	Target	O
was	O	O	O	O
hit	Attack	O	O	E
by	O	O	O	O
coalition	O	WEA	Attacker	O
bombs	O	WEA	Instrument	O
and	O	WEA	Instrument	O
missiles	O	WEA	Instrument	O
and	O	O	O	O
then	O	O	O	O
burned	O	O	O	O
and	O	O	O	O
looted	O	O	O	O
by	O	O	O	O
iraqis	O	PER	O	O
.	O	O	O	O

people	O	PER	O	O
in	O	PER	O	O
baghdad	O	PER	O	O
celebrate	O	O	O	O
the	O	O	O	O
fall	End-Position	O	O	E
of	O	O	O	O
a	O	PER	Person	O
leader	O	PER	Person	O
whose	O	PER	Person	O
fate	O	PER	Person	O
is	O	PER	Person	O
unknown	O	PER	Person	O
tonight	O	PER	Person	O
.	O	O	O	O

we	O	PER	O	O
'll	O	O	O	O
be	O	O	O	O
talking	O	O	O	O
with	O	O	O	O
an	O	PER	O	O
expert	O	PER	O	O
on	O	PER	O	O
saddam	O	PER	O	O
hussein	O	PER	O	O
,	O	O	O	O
author	O	PER	O	O
andrew	O	PER	O	O
coburn	O	PER	O	O
about	O	O	O	O
whether	O	O	O	O
saddam	O	PER	Victim	O
hussein	O	PER	Victim	O
is	O	O	O	O
dead	Die	O	O	E
or	O	O	O	O
alive	O	O	O	O
and	O	O	O	O
where	O	LOC	O	O
in	O	LOC	O	O
the	O	LOC	O	O
world	O	LOC	O	O
is	O	O	O	O
he	O	PER	O	O
.	O	O	O	O

