your	O	PER	Artifact	O
journey	Transport	O	O	E
,	O	O	O	O
particularly	O	O	O	O
to	O	O	O	O
southern	O	LOC	Destination	O
iraq	O	LOC	Destination	O
,	O	O	O	O
what	O	O	O	O
is	O	O	O	O
evoked	O	O	O	O
there	O	O	O	O
a	O	O	O	O
sense	O	O	O	O
of	O	O	O	O
both	O	O	O	O
that	O	O	O	O
you	O	PER	O	O
evoke	O	O	O	O
is	O	O	O	O
a	O	O	O	O
sense	O	O	O	O
of	O	O	O	O
history	O	O	O	O
of	O	O	O	O
this	O	ORG	O	O
regime	O	ORG	O	O
.	O	O	O	O

i	O	PER	O	O
was	O	O	O	O
n't	O	O	O	O
in	O	O	O	O
a	O	O	O	O
position	O	O	O	O
that	O	O	O	O
my	O	PER	O	O
dear	O	PER	O	O
friend	O	PER	O	O
was	O	O	O	O
in	O	O	O	O
when	O	O	O	O
he	O	PER	Victim	O
was	O	O	O	O
killed	Die	O	O	E
outside	O	O	O	O
bagdad	O	FAC	Place	O
airport	O	FAC	Place	O
but	O	O	O	O
i	O	PER	O	O
had	O	O	O	O
long	O	O	O	O
thought	O	O	O	O
and	O	O	O	O
i	O	PER	O	O
was	O	O	O	O
in	O	O	O	O
iraq	O	GPE	O	O
in	O	O	O	O
the	O	O	O	O
previous	O	O	O	O
war	Attack	O	O	O
that	O	O	O	O
really	O	O	O	O
all	O	O	O	O
the	O	O	O	O
talk	O	O	O	O
that	O	O	O	O
had	O	O	O	O
been	O	O	O	O
about	O	O	O	O
the	O	O	O	O
rush	O	O	O	O
to	O	O	O	O
war	Attack	O	O	O
,	O	O	O	O
the	O	O	O	O
push	O	O	O	O
for	O	O	O	O
war	Attack	O	O	O
,	O	O	O	O
the	O	O	O	O
drive	O	O	O	O
for	O	O	O	O
war	Attack	O	O	O
,	O	O	O	O
all	O	O	O	O
that	O	O	O	O
propaganda	O	O	O	O
,	O	O	O	O
was	O	O	O	O
essentially	O	O	O	O
nonsensical	O	O	O	O
because	O	O	O	O
in	O	O	O	O
1990	O	TIM	O	O
,	O	O	O	O
saddam	O	PER	O	O
hussein	O	PER	O	O
made	O	O	O	O
the	O	O	O	O
only	O	O	O	O
self	O	O	O	O
criticism	O	O	O	O
.	O	O	O	O

i	O	PER	O	O
was	O	O	O	O
n't	O	O	O	O
in	O	O	O	O
a	O	O	O	O
position	O	O	O	O
that	O	O	O	O
my	O	PER	O	O
dear	O	PER	O	O
friend	O	PER	O	O
was	O	O	O	O
in	O	O	O	O
when	O	O	O	O
he	O	PER	O	O
was	O	O	O	O
killed	Die	O	O	O
outside	O	O	O	O
bagdad	O	FAC	O	O
airport	O	FAC	O	O
but	O	O	O	O
i	O	PER	O	O
had	O	O	O	O
long	O	O	O	O
thought	O	O	O	O
and	O	O	O	O
i	O	PER	O	O
was	O	O	O	O
in	O	O	O	O
iraq	O	GPE	O	O
in	O	O	O	O
the	O	O	O	O
previous	O	O	O	O
war	Attack	O	O	O
that	O	O	O	O
really	O	O	O	O
all	O	O	O	O
the	O	O	O	O
talk	O	O	O	O
that	O	O	O	O
had	O	O	O	O
been	O	O	O	O
about	O	O	O	O
the	O	O	O	O
rush	O	O	O	O
to	O	O	O	O
war	Attack	O	O	O
,	O	O	O	O
the	O	O	O	O
push	O	O	O	O
for	O	O	O	O
war	Attack	O	O	O
,	O	O	O	O
the	O	O	O	O
drive	O	O	O	O
for	O	O	O	O
war	Attack	O	O	E
,	O	O	O	O
all	O	O	O	O
that	O	O	O	O
propaganda	O	O	O	O
,	O	O	O	O
was	O	O	O	O
essentially	O	O	O	O
nonsensical	O	O	O	O
because	O	O	O	O
in	O	O	O	O
1990	O	TIM	O	O
,	O	O	O	O
saddam	O	PER	O	O
hussein	O	PER	O	O
made	O	O	O	O
the	O	O	O	O
only	O	O	O	O
self	O	O	O	O
criticism	O	O	O	O
.	O	O	O	O

he	O	PER	O	O
said	O	O	O	O
,	O	O	O	O
i	O	PER	Attacker	O
could	O	O	O	O
either	O	O	O	O
invade	Attack	O	O	E
kuwait	O	GPE	O	O
or	O	O	O	O
finish	O	O	O	O
developing	O	O	O	O
the	O	WEA	O	O
nuclear	O	WEA	O	O
weapon	O	WEA	O	O
.	O	O	O	O

maybe	O	O	O	O
before	O	O	O	O
the	O	WEA	O	O
weapon	O	WEA	O	O
and	O	O	O	O
then	O	O	O	O
later	O	O	O	O
he	O	PER	O	O
said	O	O	O	O
,	O	O	O	O
oh	O	O	O	O
,	O	O	O	O
i	O	PER	O	O
should	O	O	O	O
have	O	O	O	O
got	O	O	O	O
the	O	WEA	O	O
nuclear	O	WEA	O	O
weapon	O	WEA	O	O
before	O	O	O	O
i	O	PER	Attacker	O
invaded	Attack	O	O	E
.	O	O	O	O

but	O	O	O	O
that	O	O	O	O
means	O	O	O	O
that	O	O	O	O
he	O	PER	Attacker	O
inaugurated	O	O	O	O
at	O	TIM	O	O
that	O	TIM	O	O
point	O	TIM	O	O
like	O	O	O	O
a	O	O	O	O
dozen-year	O	TIM	O	O
's	O	O	O	O
war	Attack	O	O	E
where	O	O	O	O
the	O	GPE	O	O
united	O	GPE	O	O
states	O	GPE	O	O
could	O	O	O	O
be	O	O	O	O
criticized	O	O	O	O
for	O	O	O	O
doing	O	O	O	O
too	O	O	O	O
little	O	O	O	O
and	O	O	O	O
acting	O	O	O	O
too	O	O	O	O
slowly	O	O	O	O
but	O	O	O	O
all	O	O	O	O
we	O	PER	O	O
're	O	O	O	O
arguing	O	O	O	O
about	O	O	O	O
lately	O	TIM	O	O
is	O	O	O	O
to	O	O	O	O
do	O	O	O	O
with	O	O	O	O
those	O	O	O	O
that	O	O	O	O
should	O	O	O	O
have	O	O	O	O
been	O	O	O	O
finished	O	O	O	O
in	O	O	O	O
'91	O	TIM	O	O
when	O	O	O	O
it	O	O	O	O
could	O	O	O	O
have	O	O	O	O
been	O	O	O	O
finished	O	O	O	O
.	O	O	O	O

taken	O	O	O	O
the	O	O	O	O
risk	O	O	O	O
of	O	O	O	O
supporting	O	O	O	O
a	O	O	O	O
shiite	O	PER	Entity	O
insurrection	Demonstrate	O	O	E
at	O	TIM	O	O
that	O	TIM	O	O
point	O	TIM	O	O
.	O	O	O	O

the	O	GPE	Place	O
little	O	GPE	Place	O
town	O	GPE	Place	O
i	O	PER	Place	O
was	O	GPE	Place	O
in	O	GPE	Place	O
this	O	LOC	Place	O
southern	O	LOC	Place	O
iraq	O	LOC	Place	O
,	O	O	O	O
as	O	O	O	O
far	O	O	O	O
as	O	O	O	O
i	O	PER	O	O
got	O	O	O	O
,	O	O	O	O
i	O	PER	O	O
ca	O	O	O	O
n't	O	O	O	O
boast	O	O	O	O
of	O	O	O	O
further	O	O	O	O
,	O	O	O	O
is	O	O	O	O
where	O	GPE	O	O
the	O	O	O	O
talks	Meet	O	O	E
took	O	O	O	O
place	O	O	O	O
.	O	O	O	O

we	O	PER	O	O
have	O	O	O	O
the	O	O	O	O
transcript	O	O	O	O
of	O	O	O	O
the	O	O	O	O
meeting	Meet	O	O	E
.	O	O	O	O

they	O	ORG	Agent	O
use	O	O	O	O
the	O	VEH	Instrument	O
gunships	O	VEH	Instrument	O
to	O	O	O	O
kill	Die	O	O	E
,	O	O	O	O
we	O	PER	O	O
think	O	O	O	O
,	O	O	O	O
not	O	PER	Victim	O
less	O	PER	Victim	O
than	O	PER	Victim	O
50,000	O	PER	Victim	O
inhabitants	O	PER	Victim	O
of	O	PER	Victim	O
southern	O	LOC	Victim	O
iraq	O	LOC	Victim	O
and	O	O	O	O
trying	O	O	O	O
to	O	O	O	O
do	O	O	O	O
that	O	O	O	O
to	O	O	O	O
the	O	PER	O	O
kurds	O	PER	O	O
,	O	O	O	O
as	O	O	O	O
well	O	O	O	O
,	O	O	O	O
so	O	O	O	O
it	O	O	O	O
was	O	O	O	O
a	O	O	O	O
knife	O	O	O	O
edge	O	O	O	O
.	O	O	O	O

when	O	O	O	O
they	O	ORG	Agent	O
made	O	O	O	O
the	O	O	O	O
decision	O	O	O	O
not	O	O	O	O
to	O	O	O	O
move	Transport	O	O	E
toward	O	O	O	O
bagdad	O	GPE	Destination	O
with	O	O	O	O
bad	O	O	O	O
information	O	O	O	O
.	O	O	O	O

who	O	PER	Victim	O
have	O	O	O	O
been	O	O	O	O
horribly	O	O	O	O
murdered	Die	O	O	E
and	O	O	O	O
tortured	Injure	O	O	O
and	O	O	O	O
reduced	O	O	O	O
to	O	O	O	O
misery	O	O	O	O
since	O	O	O	O
by	O	O	O	O
a	O	O	O	O
half	O	O	O	O
application	O	O	O	O
of	O	O	O	O
violence	O	O	O	O
through	O	O	O	O
sanctions	O	O	O	O
and	O	O	O	O
overflights	O	O	O	O
.	O	O	O	O

who	O	PER	Victim	O
have	O	O	O	O
been	O	O	O	O
horribly	O	O	O	O
murdered	Die	O	O	O
and	O	O	O	O
tortured	Injure	O	O	E
and	O	O	O	O
reduced	O	O	O	O
to	O	O	O	O
misery	O	O	O	O
since	O	O	O	O
by	O	O	O	O
a	O	O	O	O
half	O	O	O	O
application	O	O	O	O
of	O	O	O	O
violence	O	O	O	O
through	O	O	O	O
sanctions	O	O	O	O
and	O	O	O	O
overflights	O	O	O	O
.	O	O	O	O

