House	O	FAC	O	O
clearance	O	O	O	O
Royal	O	PER	O	O
Marine	O	PER	O	O
style	O	O	O	O
,	O	O	O	O
troops	O	PER	Agent	O
from	O	PER	Agent	O
-LRB-	O	PER	Agent	O
UNINTELLIGIBLE	O	PER	Agent	O
-RRB-	O	PER	Agent	O
commando	O	PER	Agent	O
task	O	O	O	O
to	O	O	O	O
seek	O	O	O	O
out	O	O	O	O
the	O	O	O	O
last	O	O	O	O
pockets	O	O	O	O
of	O	O	O	O
Iraqi	O	GPE	O	O
resistance	O	O	O	O
in	O	O	O	O
Umm	O	GPE	Place	O
Qasr	O	GPE	Place	O
go	O	O	O	O
in	O	O	O	O
hard	O	O	O	O
to	O	O	O	O
arrest	Arrest-Jail	O	O	E
suspected	O	PER	Person	O
regime	O	PER	Person	O
sympathizers	O	PER	Person	O
and	O	O	O	O
search	O	O	O	O
for	O	O	O	O
weapons	O	WEA	O	O
.	O	O	O	O

The	O	PER	Person	O
Iraqis	O	PER	Person	O
arrested	Arrest-Jail	PER	Person	O
looked	O	O	O	O
bemused	O	O	O	O
-LRB-	O	O	O	O
ph	O	O	O	O
-RRB-	O	O	O	O
and	O	O	O	O
plead	O	O	O	O
innocence	O	O	O	O
but	O	O	O	O
with	O	O	O	O
many	O	PER	O	O
militia	O	PER	O	O
here	O	PER	Place	O
,	O	O	O	O
pretending	O	O	O	O
to	O	O	O	O
surrender	O	O	O	O
only	O	O	O	O
to	O	O	O	O
open	Attack	O	O	O
fire	Attack	O	O	O
on	O	O	O	O
their	O	PER	O	O
captors	O	PER	O	O
later	O	O	O	O
,	O	O	O	O
first	O	O	O	O
impressions	O	O	O	O
can	O	O	O	O
be	O	O	O	O
deceptive	O	O	O	O
and	O	O	O	O
lethal	O	O	O	O
.	O	O	O	O

The	O	PER	O	O
Iraqis	O	PER	O	O
arrested	Arrest-Jail	PER	O	O
looked	O	O	O	O
bemused	O	O	O	O
-LRB-	O	O	O	O
ph	O	O	O	O
-RRB-	O	O	O	O
and	O	O	O	O
plead	O	O	O	O
innocence	O	O	O	O
but	O	O	O	O
with	O	O	O	O
many	O	PER	Attacker	O
militia	O	PER	Attacker	O
here	O	PER	Place	O
,	O	O	O	O
pretending	O	O	O	O
to	O	O	O	O
surrender	O	O	O	O
only	O	O	O	O
to	O	O	O	O
open	Attack	O	O	E
fire	Attack	O	O	O
on	O	O	O	O
their	O	PER	Target	O
captors	O	PER	Target	O
later	O	O	O	O
,	O	O	O	O
first	O	O	O	O
impressions	O	O	O	O
can	O	O	O	O
be	O	O	O	O
deceptive	O	O	O	O
and	O	O	O	O
lethal	O	O	O	O
.	O	O	O	O

A	O	PER	Attacker	O
man	O	PER	Attacker	O
in	O	PER	Attacker	O
this	O	VEH	Attacker	O
vehicle	O	VEH	Attacker	O
took	O	O	O	O
a	O	O	O	O
pot	Attack	O	O	E
shot	Attack	O	O	O
at	O	O	O	O
the	O	PER	Target	O
commandos	O	PER	Target	O
.	O	O	O	O

It	Attack	O	O	E
was	O	O	O	O
a	O	O	O	O
painful	O	O	O	O
and	O	O	O	O
bloody	O	O	O	O
mistake	O	O	O	O
.	O	O	O	O

We	O	PER	Agent	O
sent	Transport	O	O	E
in	O	O	O	O
one	O	PER	Artifact	O
of	O	PER	Artifact	O
our	O	PER	Artifact	O
companies	O	PER	Artifact	O
of	O	PER	Artifact	O
about	O	PER	Artifact	O
100	O	PER	Artifact	O
men	O	PER	Artifact	O
in	O	O	O	O
here	O	GPE	Destination	O
this	O	TIM	Time	O
morning	O	TIM	Time	O
and	O	O	O	O
we	O	PER	O	O
took	O	O	O	O
about	O	PER	O	O
12	O	PER	O	O
or	O	PER	O	O
13	O	PER	O	O
prisoners	O	PER	O	O
,	O	O	O	O
three	O	PER	O	O
or	O	PER	O	O
four	O	PER	O	O
enemy	O	PER	O	O
were	O	O	O	O
injured	Injure	O	O	O
and	O	O	O	O
they	O	PER	O	O
've	O	O	O	O
now	O	TIM	O	O
been	O	O	O	O
flown	Transport	O	O	O
out	Transport	O	O	O
and	O	O	O	O
we	O	PER	O	O
're	O	O	O	O
