Where	O	LOC	Destination	O
do	O	O	O	O
you	O	PER	Artifact	O
go	Transport	O	O	E
and	O	O	O	O
who	O	PER	O	O
do	O	O	O	O
you	O	PER	O	O
visit	O	O	O	O
?	O	O	O	O

I	O	PER	O	O
think	O	O	O	O
we	O	PER	Entity	O
may	O	O	O	O
have	O	O	O	O
talked	Phone-Write	O	O	E
before	O	O	O	O
.	O	O	O	O

I	O	PER	Entity	O
've	O	O	O	O
talked	Phone-Write	O	O	E
to	O	O	O	O
people	O	PER	Entity	O
from	O	PER	Entity	O
Pennsylvania	O	GPE	Entity	O
,	O	O	O	O
yes	O	O	O	O
.	O	O	O	O

Go	Transport	O	O	E
to	O	O	O	O
Tennessee	O	GPE	Destination	O
to	O	O	O	O
see	O	O	O	O
my	O	PER	O	O
,	O	PER	O	O
uh	O	PER	O	O
,	O	PER	O	O
two	O	PER	O	O
sisters	O	PER	O	O
.	O	O	O	O

So	O	O	O	O
,	O	O	O	O
pretty	O	O	O	O
much	O	O	O	O
,	O	O	O	O
uh	O	O	O	O
,	O	O	O	O
um	O	O	O	O
,	O	O	O	O
n	O	O	O	O
-	O	O	O	O
m	O	O	O	O
-	O	O	O	O
We	O	PER	O	O
,	O	O	O	O
uh	O	O	O	O
,	O	O	O	O
have	O	O	O	O
-	O	O	O	O
we	O	PER	O	O
have	O	O	O	O
two	O	PER	Person	O
adult	O	PER	Person	O
children	O	PER	Person	O
that	O	PER	O	O
have	O	O	O	O
been	O	O	O	O
married	Marry	O	O	E
in	O	O	O	O
the	O	TIM	Time	O
last	O	TIM	Time	O
two	O	TIM	Time	O
years	O	TIM	Time	O
,	O	O	O	O
and	O	O	O	O
I	O	PER	O	O
'm	O	O	O	O
just	O	O	O	O
wondering	O	O	O	O
just	O	O	O	O
how	O	O	O	O
long	O	O	O	O
it	O	O	O	O
's	O	O	O	O
going	O	O	O	O
to	O	O	O	O
be	O	O	O	O
that	O	O	O	O
the	O	O	O	O
-	O	O	O	O
--	O	O	O	O
they	O	PER	O	O
're	O	O	O	O
doing	O	O	O	O
the	O	O	O	O
,	O	O	O	O
um	O	O	O	O
,	O	O	O	O
you	O	PER	O	O
know	O	O	O	O
,	O	O	O	O
his	O	PER	O	O
parents	O	PER	O	O
her	O	PER	O	O
parents	O	PER	O	O
,	O	O	O	O
uh	O	O	O	O
,	O	O	O	O
Christmas	O	TIM	O	O
trips	O	O	O	O
,	O	O	O	O
but	O	O	O	O
sounds	O	O	O	O
like	O	O	O	O
you	O	PER	O	O
've	O	O	O	O
been	O	O	O	O
doing	O	O	O	O
that	O	O	O	O
