Sent#	Word	Entity	Tag
1	Nữ_sinh	PER	O
1	đánh	O	Attack
1	nhau	O	Attack
1	túi_bụi	O	O
1	giữa	O	O
1	trời	O	O
1	mưa	O	O
2	Cả	O	O
2	hai	O	O
2	cùng	O	O
2	ẩu_đả	O	O
2	trước	O	O
2	sự	O	O
2	thờ_ơ	O	O
2	của	O	O
2	đám	O	O
2	đông	O	O
2	.	O	O
3	Mới_đây	O	O
3	cư_dân	O	O
3	mạng	O	O
3	tiếp_tục	O	O
3	cho	O	O
3	đăng_tải	O	O
3	đoạn	O	O
3	clip	O	O
3	đánh	O	Attack
3	nhau	O	Attack
3	giữa	O	O
3	2	PER	O
3	nữ_sinh	PER	O
3	.	O	O
4	Clip	O	O
4	dài	O	O
4	hơn	O	O
4	4	O	O
4	phút	O	O
4	với	O	O
4	rất	O	O
4	nhiều	O	O
4	cảnh	O	O
4	đấu_đá	O	O
4	nắm	O	O
4	tóc	O	O
4	giữa	O	O
4	2	O	O
4	nữ_sinh	O	O
4	trước	O	O
4	sự	O	O
4	chứng_kiến	O	O
4	của	O	O
4	đám	O	O
4	đông	O	O
4	"	O	O
4	vô_cảm	O	O
4	"	O	O
4	.	O	O
5	Cả	O	O
5	hai	O	O
5	cùng	O	O
5	giằng	O	O
5	nhau	O	O
5	xuống_đường	O	O
5	.	O	O
6	Người	PER	O
6	này	PER	O
6	nắm	O	Attack
6	tóc	O	Attack
6	kéo	O	Attack
6	áo	O	Attack
6	người	PER	O
6	kia	PER	O
6	thì	O	O
6	hung_hãn	O	Attack
6	đáp	O	Attack
6	trả	O	Attack
6	lại	O	O
6	...	O	O
6	khiến	O	O
6	người	O	O
6	đi	O	O
6	đường	O	O
6	phải	O	O
6	rùng_mình	O	O
6	.	O	O
7	Cả	PER	O
7	2	PER	O
7	đánh	O	Attack
7	nhau	O	Attack
7	vật_vã	O	O
7	giữa	O	O
7	trời	O	O
7	mưa	O	O
7	.	O	O
8	Có_lẽ	O	O
8	điều	O	O
8	đáng	O	O
8	nói	O	O
8	trong	O	O
8	đoạn	O	O
8	clip	O	O
8	này	O	O
8	là	O	O
8	sự	O	O
8	thờ_ơ	O	O
8	của	O	O
8	đám	O	O
8	đông	O	O
